species
Common Eider
Common Gallinule
Common Goldeneye
Common Grackle
Common Ground-Dove
Common Loon
Common Merganser
Common Nighthawk
Common Raven
Common Redpoll
Common Tern
Common Yellowthroat
Cooper's Hawk
Cordilleran Flycatcher
Costa's Hummingbird
Crested Caracara
Curve-billed Thrasher
Dark-eyed Junco
Dickcissel
Double-crested Cormorant
Downy Woodpecker
Dunlin
Eared Grebe
Eastern Bluebird
Eastern Kingbird
Eastern Meadowlark
Eastern Phoebe
Eastern Screech-Owl
Eastern Towhee
Eastern Wood-Pewee
Eurasian Collared-Dove
European Starling
Evening Grosbeak
Field Sparrow
Fish Crow
Florida Scrub-Jay
Forster's Tern
Fox Sparrow
Gadwall
Gambel's Quail
Gila Woodpecker
Glaucous-winged Gull
Glossy Ibis
Golden Eagle
Golden-crowned Kinglet
Golden-crowned Sparrow
Golden-fronted Woodpecker
Gray Catbird
Gray Jay
Gray-crowned Rosy-Finch
Great Black-backed Gull
Great Blue Heron
Great Cormorant
Great Crested Flycatcher
Great Egret
Great Horned Owl
Great-tailed Grackle
Greater Roadrunner
Greater Scaup
Greater White-fronted Goose
Greater Yellowlegs
Green Heron
Green-tailed Towhee
Green-winged Teal
Hairy Woodpecker
Harlequin Duck
Harris's Hawk
Harris's Sparrow
Heermann's Gull
Hermit Thrush
Hermit Warbler
Herring Gull
Hoary Redpoll
Hooded Merganser
Hooded Oriole
Hooded Warbler
Horned Grebe
Horned Lark
House Finch
House Sparrow
House Wren
Hutton's Vireo
Inca Dove
Indigo Bunting
Juniper Titmouse
Killdeer
Ladder-backed Woodpecker
Lark Bunting
Lark Sparrow
Laughing Gull
Lazuli Bunting
Least Flycatcher
Least Sandpiper
Lesser Goldfinch
Lesser Scaup
Lesser Yellowlegs
Lincoln's Sparrow
Little Blue Heron
Loggerhead Shrike
Long-billed Curlew
Long-tailed Duck
Louisiana Waterthrush
MacGillivray's Warbler
Magnolia Warbler
Mallard
Marbled Godwit
Marsh Wren
Merlin
Mew Gull
Mexican Jay
Mississippi Kite
Monk Parakeet
Mottled Duck
Mountain Bluebird
Mountain Chickadee
Mourning Dove
Mourning Warbler
Mute Swan
Nashville Warbler
Neotropic Cormorant
Northern Bobwhite
Northern Cardinal
Northern Flicker
Northern Gannet
Northern Harrier
Northern Mockingbird
Northern Parula
Northern Pintail
Northern Pygmy-Owl
Northern Rough-winged Swallow
Northern Saw-whet Owl
Northern Shoveler
Northern Shrike
Northern Waterthrush
Northwestern Crow
Nuttall's Woodpecker
Oak Titmouse
Orange-crowned Warbler
Orchard Oriole
Osprey
Ovenbird
Pacific Loon
Pacific Wren
Pacific-slope Flycatcher
Painted Bunting
Palm Warbler
Pelagic Cormorant
Peregrine Falcon
Phainopepla
Pied-billed Grebe
Pigeon Guillemot
Pileated Woodpecker
Pine Grosbeak
Pine Siskin
Pine Warbler
Plumbeous Vireo
Prairie Falcon
Prairie Warbler
Prothonotary Warbler
Purple Finch
Purple Gallinule
Purple Martin
Pygmy Nuthatch
Pyrrhuloxia
Red Crossbill
Red-bellied Woodpecker
Red-breasted Merganser
Red-breasted Nuthatch
Red-breasted Sapsucker
Red-eyed Vireo
Red-headed Woodpecker
Red-naped Sapsucker
Red-necked Grebe
Red-shouldered Hawk
Red-tailed Hawk
Red-throated Loon
Red-winged Blackbird
Reddish Egret
Redhead
Ring-billed Gull
Ring-necked Duck
Ring-necked Pheasant
Rock Pigeon
Rose-breasted Grosbeak
Roseate Spoonbill
Ross's Goose
Rough-legged Hawk
Royal Tern
Ruby-crowned Kinglet
Ruby-throated Hummingbird
Ruddy Duck
Ruddy Turnstone
Ruffed Grouse
Rufous Hummingbird
Rufous-crowned Sparrow
Rusty Blackbird
Sanderling
Sandhill Crane
Savannah Sparrow
Say's Phoebe
Scaled Quail
Scarlet Tanager
Scissor-tailed Flycatcher
Semipalmated Plover
Semipalmated Sandpiper
Sharp-shinned Hawk
Short-billed Dowitcher
Snow Bunting
Snow Goose
Snowy Egret
Snowy Owl
Solitary Sandpiper
Song Sparrow
Spotted Sandpiper
Spotted Towhee
Steller's Jay
Summer Tanager
Surf Scoter
Surfbird
Swainson's Hawk
Swainson's Thrush
Swallow-tailed Kite
Swamp Sparrow
Tennessee Warbler
Townsend's Solitaire
Townsend's Warbler
Tree Swallow
Tricolored Heron
Trumpeter Swan
Tufted Titmouse
Tundra Swan
Turkey Vulture
Varied Thrush
Vaux's Swift
Veery
Verdin
Vermilion Flycatcher
Vesper Sparrow
Violet-green Swallow
Warbling Vireo
Western Bluebird
Western Grebe
Western Gull
Western Kingbird
Western Meadowlark
Western Sandpiper
Western Screech-Owl
Western Scrub-Jay
Western Tanager
Western Wood-Pewee
Whimbrel
White Ibis
White-breasted Nuthatch
White-crowned Sparrow
White-eyed Vireo
White-faced Ibis
White-tailed Kite
White-throated Sparrow
White-throated Swift
White-winged Crossbill
White-winged Dove
White-winged Scoter
Wild Turkey
Willet
Wilson's Phalarope
Wilson's Snipe
Wilson's Warbler
Winter Wren
Wood Duck
Wood Stork
Wood Thrush
Wrentit
Yellow Warbler
Yellow-bellied Sapsucker
Yellow-billed Cuckoo
Yellow-billed Magpie
Yellow-breasted Chat
Yellow-crowned Night-Heron
Yellow-headed Blackbird
Yellow-rumped Warbler
Yellow-throated Vireo
Yellow-throated Warbler
